,time,OpenInterest_long,OpenInterest_short,liquidate_long,liquidate_short,open,high,low,close,TradingVolume_usd
123,2020-08-05,60924546.772,60924546.772,801385.9575,942754.5040000002,11195.5,11780.0,11099.5,11744.5,11925.516005103329
124,2020-08-06,64973889.568,64973889.568,580423.9959999999,217386.95600000006,11745.0,11901.0,11571.0,11764.0,10929.119000503446
125,2020-08-07,60720229.996999994,60720229.996999994,2537327.309999999,23956.303,11764.5,11916.5,11333.5,11595.5,13016.992002404577
126,2020-08-08,62601992.407000005,62601992.407000005,85048.262,154129.38349999997,11595.5,11810.0,11523.0,11766.5,8773.552002502383
127,2020-08-09,60261460.623,60261460.623,438407.361,17284.333499999997,11765.5,11799.5,11532.0,11686.5,7055.667998301574
128,2020-08-10,65205987.022,65205987.022,1963251.6639999999,543252.2259999999,11686.5,12063.0,11498.5,11891.0,21793.681996704145
129,2020-08-11,63452980.908,63452980.908,6807778.272000001,301713.12,11891.0,11934.5,11144.0,11394.0,25203.98799540375
130,2020-08-12,69613768.63599999,69613768.63599999,675246.759,438528.10400000005,11394.5,11613.5,11162.0,11567.0,11293.908003302562
131,2020-08-13,65859767.216,65859767.216,2063416.8809999994,936105.545,11567.5,11790.0,11293.0,11789.0,17153.68700190394
132,2020-08-14,71118278.112,71118278.112,935058.8190000001,187892.085,11789.5,11861.0,11659.0,11769.0,9709.138993601993
133,2020-08-15,66300943.695999995,66300943.695999995,1563592.1519999998,732827.416,11769.0,11981.5,11700.0,11864.0,12811.900001902859
134,2020-08-16,71337306.222,71337306.222,664745.6984999999,598262.7884999998,11863.5,11936.0,11706.5,11914.5,7650.094004501334
135,2020-08-17,55128434.76,55128434.76,695161.7070000003,5979748.2689999975,11914.5,12499.5,11790.0,12297.0,25414.3379938016
136,2020-08-18,49894380.9,49894380.9,4071305.250000002,129561.90000000001,12296.5,12395.0,11801.0,11950.0,12195.88900260272
137,2020-08-19,52733611.788,52733611.788,870742.1910000005,55725.901,11950.5,12023.0,11566.0,11759.0,8024.9670047026
138,2020-08-20,54438237.824,54438237.824,22729.869,39448.239,11759.5,11892.5,11680.5,11857.0,3601.6269976000153
139,2020-08-21,58080745.305,58080745.305,1265444.0865,5893.6185000000005,11857.0,11881.0,11499.0,11533.5,8544.235999902152
140,2020-08-22,58890126.041999996,58890126.041999996,531266.8049999999,142705.755,11533.5,11684.0,11391.0,11668.5,5657.324997701123
141,2020-08-23,57642236.08,57642236.08,133891.78,80897.08,11669.0,11722.5,11525.0,11660.0,3499.7460023008975
142,2020-08-24,57019400.856,57019400.856,44228.394,966047.4300000002,11660.0,11826.0,11605.0,11766.0,3232.6059977003674
143,2020-08-25,57228599.849999994,57228599.849999994,4502774.7,67055.325,11766.0,11766.0,11125.0,11325.0,10872.414994202647
144,2020-08-26,54578588.554,54578588.554,294662.31,384184.1810000001,11325.0,11541.5,11257.0,11461.0,5071.449999200709
145,2020-08-27,54033739.032000005,54033739.032000005,421491.38850000006,214433.4465,11462.5,11585.0,11144.0,11329.5,7828.189002802497
146,2020-08-28,56076537.019999996,56076537.019999996,0.0,641222.3440000002,11329.5,11533.5,11292.0,11522.0,3745.5060033003883
147,2020-08-29,58732670.68800001,58732670.68800001,75141.59999999999,65023.296000000024,11522.0,11575.0,11426.0,11472.0,2726.542004000138
148,2020-08-30,60237176.8,60237176.8,21698.63,461678.46,11471.0,11719.0,11467.0,11710.0,3921.8389999006595
