time,TradingVolume_usd,high,low,open,close,liquidate_long,liquidate_short,OpenInterest_short,OpenInterest_long,leverage_long,leverage_short,1.1X - 5X,10X - 15X,15X - 20X,20X - 25X,25X - 30X,30X - 35X,35X - 40X,40X - 45X,45X - 50X,5X - 10X,Less than 1.1X,More than 50X
2021-08-31,102.65940759762267,48252.74,46713.72,46993.31,47159.26,0.0,0.0,19.9599295,42.69947809762267,2.5938559645766737,1.99599295,82.65940759762267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-05,40559.49891603548,51890.18,49499.28,49935.29,51784.16,0.0,0.0,88.94348814,38775.42447690151,7.955622657836836,29.11930208299154,0.0,0.0,0.0,0.0,1154.4319938658036,0.0,0.0,0.0,0.0,38250.63492830388,0.0,0.0
2021-09-06,45984.788838380686,52766.16,51035.68,51784.16,52693.32,0.0,0.0,665.1048339085268,6678.682112905917,17.78735654158842,29.68633911547461,0.0,3741.731897350488,0.0,0.0,3490.372012726324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-07,14034.158378577724,52919.24,43904.42,52693.32,46856.31,0.0,0.0,-1.1368683772161605e-13,5731.640713179696,14.930061458875178,29.68632298010065,0.0,5178.343415121612,530.5577494604531,0.0,502.1049078894228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-08,119083.24832434104,47362.35,44475.76,46856.31,46073.45,0.0,0.0,-7.389644451905042e-12,2709.772767879631,18.010875574783974,29.147256251121963,167.379175152,1901.1688581044875,0.0,2687.033219282,53275.108936982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-11,50020.33384735749,45987.63,44741.98,44853.1,45166.12,0.0,0.0,-7.389644451905042e-12,35883.41965574751,12.507477954991725,16.33670911478326,327.3201029633032,2161.3753504450365,5316.6040901905,17537.803418292013,2959.7281827849406,0.0,0.0,0.0,0.0,14637.675832577888,0.0,0.0
2021-09-12,2073147.4875887868,46403.5,44765.82,45166.12,46049.72,0.0,0.0,7005.412005477373,38150.19318192397,29.64389257370859,17.84567014247102,0.0,1712.73181248,8508.60036621698,12524.323143938898,1017299.9751959888,0.0,0.0,0.0,0.0,1164.206041595868,0.0,0.0
2021-09-13,1425071.1808988473,46821.84,43511.3,46049.72,44958.56,0.0,0.0,161.98971480146156,496395.6308624577,9.280428107784958,1.5996752332702886,5839.350371513468,11470.005941289166,59237.97615643201,10474.535300041282,190457.3249246563,0.0,0.0,0.0,0.0,660757.4054504205,0.0,0.0
2021-09-14,1294091.910668753,47263.56,44776.37,44958.56,47129.01,0.0,0.0,323.7111086514615,682889.0307938278,11.162703875521064,18.20375456124486,5681.862813579397,275436.5185429257,193484.1962341124,818.51514718,23378.49021248373,0.0,0.0,0.0,0.0,241573.9330467056,0.0,0.0
2021-09-15,857019.0625608513,48457.3,46725.15,47129.01,48148.45,0.0,0.0,7227.975306671461,303429.3105335039,9.243482112398796,19.763240056986028,30316.2329612511,0.0,8249.471765251199,0.0,193562.969339793,0.0,0.0,0.0,0.0,10103.1291829785,0.0,0.0
