,symbol,exchange,symbol_on_exchange,base_asset,quote_asset,expire_at,has_buy_sell_data,is_perpetual,margined,oi_lq_vol_denominated_in,has_long_short_ratio_data,has_ohlcv_data
1433,TRB_USDT.Y,Y,TRB_USDT,TRB,USDT,,True,True,STABLE,BASE_ASSET,False,True
1434,CROUSDT_PERP.3,3,CRO-USDT-SWAP,CRO,USDT,,True,True,STABLE,BASE_ASSET,False,True
1435,ICPUSDT_PERP.F,F,ICPF0:USTF0,ICP,USDT,,True,True,STABLE,BASE_ASSET,False,True
1436,SANDUSD_PERP.3,3,SAND-USD-SWAP,SAND,USD,,True,True,COIN,QUOTE_ASSET,False,True
1437,NEO_USDT.Y,Y,NEO_USDT,NEO,USDT,,True,True,STABLE,BASE_ASSET,False,True
1438,AXSUSD_PERP.0,0,AXSUSD,AXS,USD,,True,True,COIN,CONTRACTS,False,True
1439,ALPHA_USDT.Y,Y,ALPHA_USDT,ALPHA,USDT,,True,True,STABLE,BASE_ASSET,False,True
1440,HOOK_USDT.Y,Y,HOOK_USDT,HOOK,USDT,,True,True,STABLE,BASE_ASSET,False,True
1441,pf_alphausd.K,K,pf_alphausd,ALPHA,USD,,True,True,STABLE,BASE_ASSET,False,True
1442,ORDIUSDT_PERP.3,3,ORDI-USDT-SWAP,ORDI,USDT,,True,True,STABLE,BASE_ASSET,False,True
1443,LINKUSDT_PERP.4,4,LINK-USDT,LINK,USDT,,True,True,STABLE,BASE_ASSET,False,True
1444,JSTUSDT_PERP.4,4,JST-USDT,JST,USDT,,True,True,STABLE,BASE_ASSET,False,True
1445,PERP_FET_USDT.W,W,PERP_FET_USDT,FET,USDT,,True,True,STABLE,BASE_ASSET,False,True
1446,PERP_TRB_USDT.W,W,PERP_TRB_USDT,TRB,USDT,,True,True,STABLE,BASE_ASSET,False,True
1447,LINKUSD_PERP.3,3,LINK-USD-SWAP,LINK,USD,,True,True,COIN,QUOTE_ASSET,False,True
1448,XEN_USDT.Y,Y,XEN_USDT,XEN,USDT,,True,True,STABLE,BASE_ASSET,False,True
1449,DOTUSD_PERP.0,0,DOTUSD,DOT,USD,,True,True,COIN,CONTRACTS,False,True
1450,YFIIUSDT_PERP.3,3,YFII-USDT-SWAP,YFII,USDT,,True,True,STABLE,BASE_ASSET,False,True
1451,PERP_LOOM_USDT.W,W,PERP_LOOM_USDT,LOOM,USDT,,True,True,STABLE,BASE_ASSET,False,True
1452,GRTUSD_PERP.3,3,GRT-USD-SWAP,GRT,USD,,True,True,COIN,QUOTE_ASSET,False,True
1453,pf_opusd.K,K,pf_opusd,OP,USD,,True,True,STABLE,BASE_ASSET,False,True
