,time,high,low,open,close,liquidate_long,liquidate_short,TradingVolume_usd,OpenInterest_long,OpenInterest_short,leverage_long,leverage_short,Less than 1.1X,1.1X - 5X,5X - 10X,10X - 15X,15X - 20X,20X - 25X,25X - 30X,30X - 35X,35X - 40X,40X - 45X,45X - 50X,More than 50X
4549,2022-12-30,16637.25,16364.76,16631.24,16599.47,0.0,0.0,118800.0,22305630.86599785,32915764.943556808,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6600.0
4550,2022-12-31,16625.46,16487.05,16599.47,16531.31,244080.0,39600.0,1767742.0,22993107.055769145,32668055.7303825,143.75213675213675,137.86206896551724,0.0,0.0,0.0,0.0,0.0,9840.0,0.0,0.0,7372.0,0.0,9408.0,6615.131474103586
4551,2023-01-01,16619.82,16502.85,16531.31,16613.87,0.0,0.0,395013.0,22873958.870328397,32866698.21903849,94.70588235294117,150.0,0.0,24900.0,24900.0,0.0,0.0,0.0,7371.0,0.0,0.0,0.0,55392.0,14865.78947368421
4552,2023-01-02,16768.07,16544.15,16613.87,16670.08,0.0,0.0,675949.0,23215993.591589563,32209214.462194912,84.29629629629629,36.15384615384615,0.0,10277.0,11548.666666666666,0.0,8381.0,38513.333333333336,7371.0,0.0,0.0,0.0,55392.0,16289.545454545454
4553,2023-01-03,16766.7,16605.01,16670.08,16670.16,0.0,0.0,662385.0,24286774.304447364,31199635.457151543,95.41666666666667,73.0,0.0,0.0,0.0,22920.0,0.0,20643.0,12250.0,0.0,0.0,0.0,0.0,53059.27272727273
4554,2023-01-04,16972.62,16651.02,16670.16,16846.82,19800.0,0.0,2281502.0,25217795.67162564,30583577.98332482,93.46428571428571,66.72,0.0,0.0,0.0,14137.714285714286,0.0,16055.0,12250.0,8146.0,0.0,0.0,0.0,59783.23529411765
4555,2023-01-05,16869.84,16764.64,16846.82,16825.87,0.0,0.0,595617.0,24224360.942895096,31058973.13715325,94.55,52.25,0.0,0.0,0.0,37654.0,0.0,18100.0,10192.0,0.0,0.0,7871.0,0.0,29340.8
4556,2023-01-06,17013.77,16687.42,16825.87,16946.16,0.0,0.0,966954.0,25708947.71515244,37462867.8996538,61.03846153846154,36.7,0.0,8635.0,59366.0,0.0,7410.0,7846.666666666667,22428.571428571428,22030.0,0.0,0.0,0.0,27531.764705882353
4557,2023-01-07,16972.62,16905.39,16946.16,16942.73,0.0,0.0,82457.0,26711904.367436223,37687998.13747215,70.8,51.0,0.0,0.0,7944.0,0.0,15714.0,7880.0,0.0,0.0,0.0,0.0,0.0,9108.333333333334
4558,2023-01-08,17132.21,16913.28,16942.73,17115.81,0.0,0.0,501802.0,27112822.08333163,33755298.61780667,50.27272727272727,125.0,0.0,0.0,120420.0,0.0,0.0,0.0,0.0,16470.0,0.0,7869.0,0.0,29577.875
4559,2023-01-09,17387.59,17103.2,17115.81,17179.03,0.0,0.0,341552.0,25050237.03529689,27969985.184336744,67.82352941176471,66.0,0.0,7470.0,7470.0,35628.0,17748.0,7880.0,24951.6,7458.0,0.0,0.0,0.0,12526.0
4560,2023-01-10,17484.36,17148.57,17179.03,17442.44,0.0,0.0,1063383.0,25349801.054185428,26757197.780725457,56.55555555555556,42.07142857142857,0.0,0.0,7658.0,7940.0,7410.0,9703.285714285714,10325.0,20490.0,0.0,0.0,0.0,114495.25
4561,2023-01-11,17986.45,17324.71,17442.44,17938.0,0.0,0.0,3528236.0,27047798.59063011,27690835.44165521,57.31578947368421,46.0,0.0,8430.0,8430.0,118848.0,8632.5,11004.0,12250.0,0.0,0.0,278786.6666666667,0.0,166573.33333333334
4562,2023-01-12,19092.31,17906.4,17938.0,18849.0,43630.0,0.0,5652318.0,28136765.739344638,30161057.29039924,70.33333333333333,73.52112676056338,0.0,20551.666666666668,20551.666666666668,54516.0,29729.85714285714,10251.875,12250.0,389416.0,7334.0,23240.0,34986.0,29916.2
4563,2023-01-13,19992.23,18717.45,18849.0,19932.05,26400.0,0.0,11235942.0,32138700.49303364,27921967.903386503,73.07843137254902,63.72727272727273,0.0,23001.5,24971.909090909092,185246.14285714287,78649.875,66512.69565217392,14190.833333333334,19856.0,7372.0,38720.0,7290.0,68234.32530120482
4564,2023-01-14,21255.15,19895.77,19932.05,20954.52,39600.0,66000.0,7567577.0,33559214.44692192,27532205.66417454,102.46601941747574,74.72368421052632,0.0,16289.333333333334,7772.285714285715,121440.58823529411,115597.5,163892.8,76691.42857142857,14465.142857142857,9270.666666666666,0.0,0.0,28734.787401574802
4565,2023-01-15,21047.91,20575.44,20954.52,20878.94,0.0,0.0,4941881.0,32489637.333564747,29692909.24198688,56.90625,102.0,0.0,27173.5,46865.0,25204.0,115794.7,0.0,346484.6666666667,24615.0,0.0,38720.0,0.0,81567.33333333333
4566,2023-01-16,21438.83,20635.89,20878.94,21188.92,40200.0,23516.0,4762960.0,33466006.48320455,27862814.22784696,94.74698795180723,64.86363636363636,0.0,0.0,29452.0,41619.4,45347.42857142857,299674.0,19101.333333333332,11530.0,0.0,27506.285714285714,7536.0,31786.54761904762
4567,2023-01-17,21555.18,20866.41,21188.92,21136.12,25760.0,24392.0,4904632.0,28809936.748456538,35317188.66255588,70.48351648351648,76.46938775510205,0.0,56393.6,92003.14285714286,54461.333333333336,125668.5,14140.285714285714,12250.0,7702.5,9594.0,10458.90909090909,14445.0,33427.260273972606
4568,2023-01-18,21624.6,20411.68,21136.12,20678.47,26400.0,14976.0,9923905.0,27023538.84074252,34711398.75158701,94.29126213592232,95.94366197183099,0.0,13230.666666666666,28781.333333333332,50382.75,47974.92857142857,15591.2,0.0,14016.0,594264.3333333334,14762.0,0.0,53448.181818181816
4569,2023-01-19,21180.98,20670.44,20678.47,21082.28,42450.0,2388600.0,9805144.0,27850473.999268223,25567763.25970591,69.16666666666667,79.13333333333334,0.0,0.0,0.0,26306.0,135824.0,11075.5,116431.2,7320.0,369629.5,7392.0,156604.0,101296.77192982456
4570,2023-01-20,22724.89,20884.26,21082.28,22676.2,278986.0,42946.0,8374958.0,33383492.016244054,29092568.171423748,76.04854368932038,69.30232558139535,0.0,22257.875,23380.8125,30602.555555555555,65656.71428571429,65866.22222222222,10418.0,8016.2,22037.25,7661.555555555556,7966.0,57526.31481481482
4571,2023-01-21,23327.14,22465.82,22676.2,22789.92,406499.0,67984.0,23676170.0,29463926.44710113,26804471.182881597,95.42796610169492,76.9054054054054,0.0,12216.0,14376.857142857143,20667.29411764706,242272.5,42564.444444444445,249642.66666666666,9760.0,25554.416666666668,7760.0,9408.0,87434.28761061947
4572,2023-01-22,23072.22,22343.13,22789.92,22714.99,32000.0,0.0,13165407.0,30663372.870580185,26229394.81183369,88.21379310344828,72.57777777777778,0.0,7476.0,7470.0,25657.6,360957.5,188110.2857142857,121166.0,21665.6875,9515.5,0.0,10029.0,58196.92622950819
4573,2023-01-23,23154.59,22585.74,22714.99,22917.47,81204.0,191700.0,13577146.0,28911511.105668917,34389746.0124534,81.20529801324503,82.74509803921569,0.0,48394.125,26662.85714285714,14070.5,26022.75,24294.0,75644.25,11367.307692307691,7372.0,102377.33333333333,0.0,86816.608
