,time,liquidate_long,liquidate_short,TradingVolume_usd,OpenInterest_long,OpenInterest_short,leverage_long,leverage_short,Less than 1.1X,1.1X - 5X,5X - 10X,10X - 15X,15X - 20X,20X - 25X,25X - 30X,30X - 35X,35X - 40X,40X - 45X,45X - 50X,More than 50X,high,low,open,close
0,2021-12-20,0.0,108400.0,1646699,1938927.377721399,708004.1918348875,62.372093023255815,74.85714285714286,0.0,1124.5454545454545,1124.5454545454545,41179.2,0.0,1980.0,18363.333333333332,0.0,62316.0,1709.0,4455.0,40599.8125,47495.72,45586.49,46697.13,46913.54
1,2021-12-21,324644.0,120254.0,3676627,3134882.7518282207,273046.489187306,73.47101449275362,81.05154639175258,0.0,3664.5652173913045,3265.5555555555557,14385.052631578947,1511.2,7868.0,1875.0,4395.0,21654.285714285714,11745.42857142857,30735.0,19314.241610738256,49334.04,46661.88,46913.54,48917.48
2,2021-12-22,2330.0,500.0,2208410,2313251.056109597,569701.6754434434,58.32432432432432,46.50909090909091,0.0,2754.6774193548385,2646.4444444444443,5067.692307692308,1038.0,1973.8461538461538,160752.8,1050.0,2548.0,3560.0,0.0,23437.41176470588,49581.41,48460.43,48917.48,48614.97
3,2021-12-23,956111.0,0.0,3677039,2899305.879819582,262039.55589986223,57.02970297029703,76.13888888888889,0.0,3198.529411764706,3144.909090909091,38033.166666666664,915.6666666666666,1828.3333333333333,5321.555555555556,5436.428571428572,52460.5,15850.285714285714,0.0,42628.84375,51382.88,48062.25,48614.97,50830.2
4,2021-12-24,35337.0,0.0,1629262,1867039.130595682,844652.3563733094,75.0,92.5,0.0,14335.5,12163.25,15180.714285714286,0.0,2071.3333333333335,16667.0,3131.0,0.0,6730.666666666667,0.0,16543.211267605635,51863.56,50449.36,50830.2,50840.36
5,2021-12-25,0.0,9600.0,450843,2364424.399545978,929579.9391809814,96.3030303030303,89.42857142857143,0.0,3400.0,3400.0,20284.0,750.0,980.0,1225.0,0.0,1715.0,0.0,0.0,10894.052631578947,51158.56,50199.56,50840.36,50431.63
6,2021-12-26,25361.0,27360.0,1850747,2610190.4945595446,287267.4424702852,57.306930693069305,81.13953488372093,0.0,18570.5,17185.0,11494.333333333334,44705.846153846156,1292.2,20666.666666666668,2362.5,2668.3333333333335,1960.0,2655.0,11520.631578947368,51283.7,49485.62,50431.63,50790.88
7,2021-12-27,63401.0,0.0,1426674,3198907.6505011474,117672.96888199863,64.37755102040816,48.80769230769231,0.0,4958.571428571428,9756.0,14312.181818181818,44292.63636363636,4381.0,10869.0,27648.0,3659.0,4268.0,1755.0,6702.094339622641,52079.46,50481.26,50790.88,50714.73
8,2021-12-28,142623.0,3550.0,2936553,2752797.3323003715,201451.02203757057,59.36774193548387,79.05263157894737,0.0,2958.0,6345.739130434783,6768.148148148148,10483.76923076923,3593.294117647059,7456.357142857143,6504.0,4337.4,18096.666666666668,3525.0,21542.777777777777,50718.53,47317.78,50714.73,47536.39
9,2021-12-29,24890.0,3550.0,12195047,2932729.040706958,274257.61502200144,58.26119402985075,58.93103448275862,0.0,1621.1363636363637,3732.5862068965516,5158.714285714285,12900.0,3750.0,29796.95,218071.0,1404.0,10717.333333333334,3332.0,99041.49504950496,48145.34,46107.79,47536.39,46471.7
10,2021-12-30,45669.0,9600.0,3027169,2709437.962770587,544739.5371044854,53.93827160493827,99.57142857142857,0.0,3296.904761904762,6624.25,2370.0,2970.0,3113.3333333333335,19793.75,43522.5,0.0,2009.0,0.0,35565.028169014084,47917.89,45964.28,46471.7,47129.66
11,2021-12-31,3586750.0,0.0,21935764,5443146.6858309135,392087.9520803999,52.00970873786408,54.292682926829265,0.0,577.1875,11416.703703703704,12502.833333333334,10476.0,107876.36363636363,361091.6666666667,4424.0,282558.8,173047.6,0.0,245928.76923076922,48573.22,45665.44,47129.66,46197.31
12,2022-01-01,154366.0,36656.0,2405615,4710233.002966847,325694.68605563394,87.25333333333333,93.20689655172414,0.0,766.25,7959.9,541.3333333333334,19950.0,20860.0,42837.0,29550.0,13035.5,448036.0,0.0,14580.103896103896,47950.29,46196.03,46197.31,47737.35
13,2022-01-02,55144.0,2346.0,6168439,6616839.183434938,1948203.427234847,51.82608695652174,46.411764705882355,0.0,2306.923076923077,2192.1428571428573,11974.5,30060.0,40783.333333333336,1225.0,3273.4615384615386,170135.0,740440.0,1666.0,129340.34285714285,47979.26,46666.18,47737.35,47306.41
14,2022-01-03,79370.0,0.0,10668449,5326483.962067694,317617.7634090469,45.25,70.51923076923077,0.0,3681.818181818182,3681.818181818182,11158.3,874.0,31054.666666666668,23479.0,2355.5714285714284,39142.28571428572,153310.0,1666.0,175955.49019607843,47572.23,45707.55,47306.41,46450.79
15,2022-01-04,652110.0,2790318.0,13406730,4994846.454277182,321310.61278400663,58.58,56.77272727272727,0.0,1752.5,1752.5,15447.75,2460.0,104685.0,518475.0,2340.0,1292.0,8190.0,0.0,311501.4054054054,47529.48,45587.91,46450.79,45824.54
16,2022-01-05,550807.0,1500.0,2865924,3614492.949749509,932392.9119200746,22.77922077922078,17.125,0.0,1698.75,6333.173913043478,20207.363636363636,23392.4,97341.75,104620.0,0.0,77105.0,1716.0,0.0,19464.8,47067.18,42510.86,45824.54,43432.51
17,2022-01-07,1125862.0,76180.0,11841250,2897942.3885376905,9563042.476866456,44.45652173913044,39.64705882352941,0.0,7698.333333333333,7391.944444444444,102465.07407407407,198128.25,70905.14285714286,127021.875,152250.0,72661.57142857143,40520.0,220549.0,95117.85365853658,43138.79,40750.42,43094.54,41543.79
