time,leverage_long_GMX,leverage_short_GMX,less_than_1X_GMX,1X_5X_GMX,5X_10X_GMX,10X_15X_GMX,15X_20X_GMX,20X_25X_GMX,25X_30X_GMX,30X_35X_GMX,35X_40X_GMX,40X_45X_GMX,45X_50X_GMX,more_than_50X_GMX,leverage_long_GNS,leverage_short_GNS,less_than_1X_GNS,1X_5X_GNS,5X_10X_GNS,10X_15X_GNS,15X_20X_GNS,20X_25X_GNS,25X_30X_GNS,30X_35X_GNS,35X_40X_GNS,40X_45X_GNS,45X_50X_GNS,more_than_50X_GNS
2021-09-05,5.274739311206755,15.55764751649577,0.0,82.65940759762267,38250.63492830388,0.0,0.0,0.0,1154.4319938658036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-12,18.57593282078958,24.5404595207903,0.0,494.69927811530323,15801.881874173756,14695.351333501625,14355.762205867934,32749.15978151291,1077527.2892363714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-19,9.643913853035112,16.661372015630118,0.0,275879.64229152905,1126419.4669031345,488790.8191957194,773786.3853548144,136817.25553832634,672602.4139572384,99622.04766461454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-26,11.460195114649677,11.724643815350797,0.0,305458.061751284,890186.2011529602,312617.19513365,316882.24950375047,315907.6866976095,1403283.78196679,184492.6370156117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-03,9.13722753703566,21.094286084830255,0.0,547863.5332103064,499458.8331640694,483872.5004336166,803187.1674813454,620794.7540942514,2194836.3249456882,153918.71621622238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-10,9.594727156703954,18.107121921555965,0.0,1195696.4109920128,3202915.395224188,3921442.7469854644,1275743.7331041999,350141.6392175092,3838143.885373228,89748.64551381979,16086.921001939898,5532.2589531852,4569.199917678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-17,10.36282978987507,16.56351210553956,2773.8428467095,2467708.909718226,8009052.7569148,5788239.063179925,6954240.376350722,3023770.090214704,4295405.500207606,126271.79727652264,1950.607854,0.0,1023.4660434635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-24,9.701641697321312,16.4332385712532,0.0,7821447.751236912,9127001.88487516,7512235.200979323,5416177.335048042,8635098.040563537,7052280.999144891,273716.6860772978,12053.59866926347,10415.2346088984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-31,12.026524958691697,17.10410743239591,0.0,2486499.0559588536,4520461.911590775,2422108.420714698,2247799.272144233,3792780.4762267955,12468982.836010713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-07,11.309629382016164,14.306841383006693,13.5475875,2053810.2117648404,3541184.4982938105,16721707.379060373,3295481.7328834664,313645.48821354785,4918067.182502544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-14,8.991814955255702,20.115448477958175,14405.3895948538,6173808.609395262,6080745.873033829,13027192.087683499,14154983.327374399,3329500.107909484,8766364.733890697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
