,symbol,exchange,symbol_on_exchange,base_asset,quote_asset,expire_at,has_buy_sell_data,is_perpetual,margined,oi_lq_vol_denominated_in,has_long_short_ratio_data,has_ohlcv_data
967,APTUSDT_PERP.F,F,APTF0:USTF0,APT,USDT,,True,True,STABLE,BASE_ASSET,False,True
968,SAND_USDT.Y,Y,SAND_USDT,SAND,USDT,,True,True,STABLE,BASE_ASSET,False,True
969,BTCUSD_PERP.3,3,BTC-USD-SWAP,BTC,USD,,True,True,COIN,QUOTE_ASSET,False,True
970,PERP_ID_USDT.W,W,PERP_ID_USDT,ID,USDT,,True,True,STABLE,BASE_ASSET,False,True
971,PERP_CRO_USDT.W,W,PERP_CRO_USDT,CRO,USDT,,True,True,STABLE,BASE_ASSET,False,True
972,PERP_FXS_USDT.W,W,PERP_FXS_USDT,FXS,USDT,,True,True,STABLE,BASE_ASSET,False,True
973,API3_USDT.Y,Y,API3_USDT,API3,USDT,,True,True,STABLE,BASE_ASSET,False,True
974,PERP_SNX_USDT.W,W,PERP_SNX_USDT,SNX,USDT,,True,True,STABLE,BASE_ASSET,False,True
975,ETH-PERPETUAL.2,2,ETH-PERPETUAL,ETH,USD,,True,True,COIN,QUOTE_ASSET,False,True
976,ICP_USDT.Y,Y,ICP_USDT,ICP,USDT,,True,True,STABLE,BASE_ASSET,False,True
977,GLMRUSDT_PERP.0,0,GLMRUSDT,GLMR,USDT,,True,True,STABLE,BASE_ASSET,False,True
978,MKRUSDT_PERP.4,4,MKR-USDT,MKR,USDT,,True,True,STABLE,BASE_ASSET,False,True
979,TRBUSDT_PERP.3,3,TRB-USDT-SWAP,TRB,USDT,,True,True,STABLE,BASE_ASSET,False,True
980,JASMYUSDT_PERP.F,F,JASMYF0:USTF0,JASMY,USDT,,True,True,STABLE,BASE_ASSET,False,True
981,PEPE_USDT.Y,Y,PEPE_USDT,PEPE,USDT,,True,True,STABLE,BASE_ASSET,False,True
982,LTCUSD_PERP.K,K,pi_ltcusd,LTC,USD,,True,True,COIN,QUOTE_ASSET,False,True
983,CFXUSDT_PERP.4,4,CFX-USDT,CFX,USDT,,True,True,STABLE,BASE_ASSET,False,True
984,FTMUSDT_PERP.3,3,FTM-USDT-SWAP,FTM,USDT,,True,True,STABLE,BASE_ASSET,False,True
985,BDVOL_USDC-29NOV23.2,2,BTCDVOL_USDC-29NOV23,BTCDVOL,USDC,1701244800000.0,True,False,STABLE,BASE_ASSET,False,True
986,XTZ-USD.8,8,XTZ-USD,XTZ,USD,,True,True,STABLE,BASE_ASSET,False,True
987,PERP_VET_USDT.W,W,PERP_VET_USDT,VET,USDT,,True,True,STABLE,BASE_ASSET,False,True
988,LTCUSDT_PERP.F,F,LTCF0:USTF0,LTC,USDT,,True,True,STABLE,BASE_ASSET,False,True
989,PERP_BNB_USDT.W,W,PERP_BNB_USDT,BNB,USDT,,True,True,STABLE,BASE_ASSET,False,True
990,pf_renusd.K,K,pf_renusd,REN,USD,,True,True,STABLE,BASE_ASSET,False,True
991,pf_hftusd.K,K,pf_hftusd,HFT,USD,,True,True,STABLE,BASE_ASSET,False,True
992,PERP_NMR_USDT.W,W,PERP_NMR_USDT,NMR,USDT,,True,True,STABLE,BASE_ASSET,False,True
993,RARE_USDT.Y,Y,RARE_USDT,RARE,USDT,,True,True,STABLE,BASE_ASSET,False,True
994,ETH_USDT.Y,Y,ETH_USDT,ETH,USDT,,True,True,STABLE,BASE_ASSET,False,True
995,AGIX_USDT.Y,Y,AGIX_USDT,AGIX,USDT,,True,True,STABLE,BASE_ASSET,False,True
996,SKL_USDT.Y,Y,SKL_USDT,SKL,USDT,,True,True,STABLE,BASE_ASSET,False,True
997,GASUSDT_PERP.0,0,GASUSDT,GAS,USDT,,True,True,STABLE,BASE_ASSET,False,True
998,PERP_GMT_USDT.W,W,PERP_GMT_USDT,GMT,USDT,,True,True,STABLE,BASE_ASSET,False,True
999,AUDIO_USDT.Y,Y,AUDIO_USDT,AUDIO,USDT,,True,True,STABLE,BASE_ASSET,False,True
1000,ETCUSDT_PERP.4,4,ETC-USDT,ETC,USDT,,True,True,STABLE,BASE_ASSET,False,True
1001,EOS_USDT.Y,Y,EOS_USDT,EOS,USDT,,True,True,STABLE,BASE_ASSET,False,True
1002,RUNE-USD.8,8,RUNE-USD,RUNE,USD,,True,True,STABLE,BASE_ASSET,False,True
1003,DGB_USDT.Y,Y,DGB_USDT,DGB,USDT,,True,True,STABLE,BASE_ASSET,False,True
1004,ROSEUSDT_PERP.4,4,ROSE-USDT,ROSE,USDT,,True,True,STABLE,BASE_ASSET,False,True
