time,SI_binance,SI_bybit,SI_GMX,SI_GNS,SI_perp
2020-08-05,0.6342422284569013,0.19574238360332152,,,
2020-08-06,0.5512985791545025,0.16820786123732534,,,
2020-08-07,0.6845497624986366,0.21437652662132053,,,
2020-08-08,0.3892928151910611,0.1401481273225634,,,
2020-08-09,0.3094438649582835,0.11708425128362447,,,
2020-08-10,0.6625999230155759,0.3342282356580405,,,
2020-08-11,0.7616972238986368,0.3972073121662609,,,
2020-08-12,0.5138133963583142,0.16223669863869492,,,
2020-08-13,0.579282403332619,0.2604577532994471,,,
2020-08-14,0.39674726405160055,0.13652100769807218,,,
2020-08-15,0.5351477058825698,0.19323857682399498,,,
2020-08-16,0.3860588095954267,0.10723833586727292,,,
2020-08-17,0.7044634218451614,0.46100235031961573,,,
2020-08-18,0.64191536816735,0.2444341182837028,,,
2020-08-19,0.7322310763592592,0.15217935454458578,,,
2020-08-20,0.3115685441371603,0.06615987477853624,,,
2020-08-21,0.4930610921344472,0.1471096136083261,,,
2020-08-22,0.3253126772429601,0.09606576480522999,,,
2020-08-23,0.24431398411346847,0.0607149590353105,,,
2020-08-24,0.2624664223245549,0.056693089530424436,,,
2020-08-25,0.6302685340345373,0.18998219461423096,,,
2020-08-26,0.4209263263748609,0.09292013834661593,,,
2020-08-27,0.5623140769731694,0.14487594497516573,,,
2020-08-28,0.288642383347543,0.0667927479538284,,,
2020-08-29,0.19607085532876742,0.04642291882969341,,,
2020-08-30,0.25891277239853466,0.06510662033385105,,,
2020-08-31,0.278136494691044,0.07022170584989669,,,
2020-09-01,0.44533431448316446,0.12265515168409577,,,
2020-09-02,0.5747536372882661,0.21421826879292552,,,
2020-09-03,1.3547771551842647,0.4551433709399087,,,
2020-09-04,1.18673844319162,0.2818995370126789,,,
2020-09-05,1.2158472669113767,0.4140361821113616,,,
2020-09-06,0.5110841924883696,0.14373083925190472,,,
2020-09-07,0.7245999220511334,0.2649076953040819,,,
2020-09-08,0.8953469742103252,0.3069181972714611,,,
2020-09-09,0.42083004591345236,0.1169086117010531,,,
2020-09-10,0.5257900943734969,0.12935521742136905,,,
2020-09-11,0.3811804752114309,0.0727841897390478,,,
2020-09-12,0.27394663048282447,0.07159749739458246,,,
2020-09-13,0.44763527111481605,0.09320211886823512,,,
2020-09-14,0.5359777990859868,0.12303261719298449,,,
2020-09-15,0.6669052543944829,0.12361054862236773,,,
2020-09-16,0.6339007786120667,0.12174744056603651,,,
2020-09-17,0.49395198408792823,0.07265257037161371,,,
2020-09-18,0.36442690573300135,0.051465302260079025,,,
2020-09-19,0.31551253196688495,0.0505018881228595,,,
2020-09-20,0.3774402731978336,0.07320169358158465,,,
2020-09-21,0.8530686638232454,0.18809505845567848,,,
